"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0
"8",1
"9",1
"10",1
"11",0
"12",0
"13",1
"14",0
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",0
"27",0
"28",0
"29",1
"30",1
"31",1
"32",0
"33",1
"34",1
"35",1
"36",1
"37",1
"38",0
"39",1
"40",0
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",0
"49",1
"50",1
"51",0
"52",0
"53",0
"54",1
"55",0
"56",0
"57",1
"58",0
"59",1
"60",0
"61",1
"62",1
"63",1
"64",1
"65",0
"66",1
"67",0
"68",1
"69",1
"70",1
"71",1
"72",0
"73",1
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",1
"90",1
"91",1
"92",1
"93",1
"94",0
"95",0
"96",0
"97",1
"98",0
"99",0
"100",0
"101",1
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",1
"115",1
"116",1
"117",0
"118",0
"119",1
"120",0
"121",0
"122",1
"123",1
"124",0
"125",0
"126",0
"127",0
"128",0
"129",1
"130",1
"131",0
"132",1
"133",0
"134",0
"135",0
"136",0
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",0
"144",0
"145",1
"146",1
"147",0
"148",0
"149",1
"150",0
"151",1
"152",0
"153",1
"154",1
"155",0
"156",1
"157",1
"158",0
"159",0
"160",1
"161",1
"162",0
"163",1
"164",0
"165",1
"166",1
"167",1
"168",1
"169",0
"170",1
"171",1
"172",0
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",0
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",0
"191",1
"192",1
"193",1
"194",0
"195",1
"196",1
"197",0
"198",1
"199",1
"200",1
"201",0
"202",1
"203",1
"204",0
"205",0
"206",0
"207",1
"208",1
"209",1
"210",0
"211",0
"212",0
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",0
"220",1
"221",1
"222",1
"223",1
"224",1
"225",0
"226",0
"227",0
"228",0
"229",1
"230",1
"231",0
"232",1
"233",0
"234",0
"235",0
"236",0
"237",1
"238",1
"239",1
"240",1
"241",0
"242",1
"243",1
"244",1
"245",0
"246",1
"247",0
"248",1
"249",1
"250",1
"251",0
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",0
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",0
"279",0
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",0
"287",1
"288",1
"289",0
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",0
"299",0
"300",1
"301",1
"302",0
"303",1
"304",0
"305",0
"306",0
"307",1
"308",0
"309",0
"310",1
"311",1
"312",1
"313",1
"314",0
"315",1
"316",1
"317",1
"318",0
"319",1
"320",0
"321",1
"322",1
"323",0
"324",1
"325",1
"326",0
"327",0
"328",1
"329",0
"330",0
"331",1
"332",0
"333",0
"334",0
"335",1
"336",0
"337",1
"338",0
"339",1
"340",1
"341",0
"342",0
"343",0
"344",0
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",0
"364",0
"365",0
"366",0
"367",0
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",0
"445",0
"446",0
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",0
"479",0
"480",0
"481",0
